team,name,number,position,url,mugshot
Alaska,BenedictAdamos,#18 , C,https://www.pba.ph/players/benedict-adamos,https://dashboard.pba.ph/assets/players/ala-Adamos2021.png
Alaska,AlecStockton,#20 , F/G,https://www.pba.ph/players/alec-stockton,https://dashboard.pba.ph/assets/players/noimage.png
Terrafirma Dyip,JamesLaput,#1 , C,https://www.pba.ph/players/james-laput,https://dashboard.pba.ph/assets/players/ter-Laput2021.png
Terrafirma Dyip,RashawnMcCarthy,#11 , G,https://www.pba.ph/players/rashawn-mccarthy,https://dashboard.pba.ph/assets/players/tfd-McCarthy2020.png
Terrafirma Dyip,JoshuaMunzon,#24 , F/G,https://www.pba.ph/players/joshua-munzon,https://dashboard.pba.ph/assets/players/ter-Munzon2021.png
Terrafirma Dyip,AldrechRamos,#17 , F,https://www.pba.ph/players/aldrech-ramos,https://dashboard.pba.ph/assets/players/tfd-Ramos2020.png
Terrafirma Dyip,Juan MiguelTiongson,#5 , G,https://www.pba.ph/players/juan-miguel-tiongson,https://dashboard.pba.ph/assets/players/tfd-Tiongson2020.png
Meralco Bolts,RaymondAlmazan,#20 , C,https://www.pba.ph/players/raymond-almazan,https://dashboard.pba.ph/assets/players/mer-Almazan2020.png
NLEX Road Warriors,WilliamMcAloney,#20 , C,https://www.pba.ph/players/william-mcaloney,https://dashboard.pba.ph/assets/players/nlx-McAloney2020.png
NLEX Road Warriors,MichaelMiranda,#2 , C,https://www.pba.ph/players/michael-miranda,https://dashboard.pba.ph/assets/players/nlx-Miranda2020.png
NLEX Road Warriors,CalvinOftana,#3 , F,https://www.pba.ph/players/calvin-oftana,https://dashboard.pba.ph/assets/players/nlx-Oftana2021.png
Rain or Shine Elastopainters,BeauBelga,#30 , C/F,https://www.pba.ph/players/beau-belga,https://dashboard.pba.ph/assets/players/ros-Belga2020b.png
Rain or Shine Elastopainters,Mark AnthonyBorboran,#16 , F,https://www.pba.ph/players/mark-anthony-borboran,https://dashboard.pba.ph/assets/players/ros-Borboran2020.png
Rain or Shine Elastopainters,AndreiCaracut,#14 , G,https://www.pba.ph/players/andrei-caracut,https://dashboard.pba.ph/assets/players/ros-Caracut2021.png
Rain or Shine Elastopainters,BradwynGuinto,#2 , C,https://www.pba.ph/players/bradwyn-guinto,https://dashboard.pba.ph/assets/players/ros-Guinto2021.png
San Miguel Beermen,Paul ChristianZamar,#12 , G,https://www.pba.ph/players/paul-christian-zamar,https://dashboard.pba.ph/assets/players/smb-Zamar2020.png
TNT Tropang Giga,JayjayAlejandro,#20 , G,https://www.pba.ph/players/jayjay-alejandro,https://dashboard.pba.ph/assets/players/tnt-Alejandro202.png
TNT Tropang Giga,GlennKhobuntin,#12 , F,https://www.pba.ph/players/glenn-khobuntin,https://dashboard.pba.ph/assets/players/tnt-Khobuntin2021.png
TNT Tropang Giga,DaveMarcelo,#22 , C,https://www.pba.ph/players/dave-marcelo,https://dashboard.pba.ph/assets/players/tnt-Marcelo2021.png
